"Grade_Level","Race","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year","Race.1","Female_Dropouts.1","Female_Dropouts_Percentage.1","Male_Dropouts.1","Male_Dropouts_Percentage.1","Annual_Female_Dropout_Rate.1","Annual_Male_Dropout_Rate.1","Race.2","Female_Dropouts.2","Female_Dropouts_Percentage.2","Male_Dropouts.2","Male_Dropouts_Percentage.2","Annual_Female_Dropout_Rate.2","Annual_Male_Dropout_Rate.2","Grade_Level","Race","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year","Race.1","Female_Dropouts.1","Female_Dropouts_Percentage.1","Male_Dropouts.1","Male_Dropouts_Percentage.1","Annual_Female_Dropout_Rate.1","Annual_Male_Dropout_Rate.1","Race.2","Female_Dropouts.2","Female_Dropouts_Percentage.2","Male_Dropouts.2","Male_Dropouts_Percentage.2","Annual_Female_Dropout_Rate.2","Annual_Male_Dropout_Rate.2","Grade_Level","Race","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year","Race.1","Female_Dropouts.1","Female_Dropouts_Percentage.1","Male_Dropouts.1","Male_Dropouts_Percentage.1","Annual_Female_Dropout_Rate.1","Annual_Male_Dropout_Rate.1","Race.2","Female_Dropouts.2","Female_Dropouts_Percentage.2","Male_Dropouts.2","Male_Dropouts_Percentage.2","Annual_Female_Dropout_Rate.2","Annual_Male_Dropout_Rate.2","Grade_Level","Race","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year","Race.1","Female_Dropouts.1","Female_Dropouts_Percentage.1","Male_Dropouts.1","Male_Dropouts_Percentage.1","Annual_Female_Dropout_Rate.1","Annual_Male_Dropout_Rate.1","Race.2","Female_Dropouts.2","Female_Dropouts_Percentage.2","Male_Dropouts.2","Male_Dropouts_Percentage.2","Annual_Female_Dropout_Rate.2","Annual_Male_Dropout_Rate.2","Grade_Level","Race","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year","Race.1","Female_Dropouts.1","Female_Dropouts_Percentage.1","Male_Dropouts.1","Male_Dropouts_Percentage.1","Annual_Female_Dropout_Rate.1","Annual_Male_Dropout_Rate.1","Race.2","Female_Dropouts.2","Female_Dropouts_Percentage.2","Male_Dropouts.2","Male_Dropouts_Percentage.2","Annual_Female_Dropout_Rate.2","Annual_Male_Dropout_Rate.2","Grade_Level","Race","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year","Race.1","Female_Dropouts.1","Female_Dropouts_Percentage.1","Male_Dropouts.1","Male_Dropouts_Percentage.1","Annual_Female_Dropout_Rate.1","Annual_Male_Dropout_Rate.1","Race.2","Female_Dropouts.2","Female_Dropouts_Percentage.2","Male_Dropouts.2","Male_Dropouts_Percentage.2","Annual_Female_Dropout_Rate.2","Annual_Male_Dropout_Rate.2"
7,"African-American",38,15.1,31,11.9,0.2,0.1,"2002-03","Hispanic",169,67.3,176,67.4,0.3,0.3,"White",38,15.1,47,18,0.1,0.1,8,"African-American",73,14.2,85,18.5,0.3,0.4,"2002-03","Hispanic",352,68.5,305,66.3,0.6,0.5,"White",75,14.6,60,13,0.1,0.1,9,"African-American",373,17.2,550,19.9,1.4,1.8,"2002-03","Hispanic",1410,65.1,1763,63.9,1.8,2,"White",360,16.6,413,15,0.5,0.5,10,"African-American",310,19.2,440,19.8,1.4,1.9,"2002-03","Hispanic",983,60.8,1333,60,1.7,2.1,"White",304,18.8,413,18.6,0.5,0.6,11,"African-American",243,16.4,404,20.4,1.3,2.3,"2002-03","Hispanic",842,56.9,1047,52.9,1.8,2.2,"White",370,25,490,24.8,0.6,0.8,12,"African-American",274,18.5,373,19,1.5,2.1,"2002-03","Hispanic",733,49.5,972,49.6,1.6,2.2,"White",450,30.4,584,29.8,0.7,0.9
7,"African-American",33,16.4,55,23.4,0.1,0.2,"2003-04","Hispanic",135,67.2,138,58.7,0.2,0.2,"White",25,12.4,41,17.4,0.1,0.1,8,"African-American",67,14.7,70,18.3,0.3,0.3,"2003-04","Hispanic",316,69.5,243,63.4,0.5,0.3,"White",61,13.4,65,17,0.1,0.1,9,"African-American",295,14.7,444,17.6,1.1,1.4,"2003-04","Hispanic",1367,68.2,1687,66.9,1.7,1.9,"White",317,15.8,359,14.2,0.4,0.5,10,"African-American",261,16.6,410,19.1,1.2,1.7,"2003-04","Hispanic",980,62.4,1292,60.2,1.6,2,"White",308,19.6,414,19.3,0.5,0.6,11,"African-American",231,15.9,353,18.4,1.2,1.9,"2003-04","Hispanic",840,57.7,1073,55.9,1.7,2.1,"White",367,25.2,465,24.2,0.6,0.7,12,"African-American",264,17.2,332,16.5,1.4,1.9,"2003-04","Hispanic",817,53.3,1111,55.3,1.7,2.3,"White",418,27.2,520,25.9,0.7,0.8
7,"African-American",43,20.4,38,16.6,0.2,0.1,"2004-05","Hispanic",142,67.3,148,64.6,0.2,0.2,"White",22,10.4,34,14.8,0.1,0.1,8,"African-American",61,15.1,70,18,0.3,0.3,"2004-05","Hispanic",265,65.4,253,65,0.4,0.3,"White",70,17.3,62,15.9,0.1,0.1,9,"African-American",352,16.4,494,18.8,1.2,1.6,"2004-05","Hispanic",1422,66.4,1695,64.6,1.7,1.8,"White",342,16,407,15.5,0.5,0.5,10,"African-American",321,19.5,444,19,1.4,1.8,"2004-05","Hispanic",965,58.6,1439,61.7,1.5,2.2,"White",332,20.2,421,18,0.5,0.6,11,"African-American",289,16.3,462,20,1.5,2.4,"2004-05","Hispanic",1045,59.1,1273,55.2,2,2.4,"White",408,23.1,537,23.3,0.7,0.8,12,"African-American",376,20.2,408,17.2,1.9,2.2,"2004-05","Hispanic",1004,53.9,1292,54.4,2,2.6,"White",443,23.8,617,26,0.7,1
7,"African-American",149,29,190,30.4,0.6,0.7,"2005-06","Hispanic",294,57.2,324,51.8,0.4,0.4,"White",59,11.5,106,17,0.1,0.2,8,"African-American",241,25.4,249,26.2,0.9,0.9,"2005-06","Hispanic",525,55.3,537,56.6,0.7,0.7,"White",164,17.3,147,15.5,0.3,0.2,9,"African-American",1094,20.4,1764,22.3,3.6,5.1,"2005-06","Hispanic",3330,62,4771,60.3,3.8,4.9,"White",873,16.3,1277,16.2,1.2,1.6,10,"African-American",914,20.8,1534,23.2,3.6,5.8,"2005-06","Hispanic",2498,56.9,3669,55.5,3.8,5.3,"White",910,20.7,1307,19.8,1.4,1.9,11,"African-American",829,19.3,1277,22,3.8,5.9,"2005-06","Hispanic",2340,54.5,2966,51.2,4.3,5.4,"White",1071,24.9,1467,25.3,1.7,2.3,12,"African-American",1801,23.9,1650,23.9,8.4,8.1,"2005-06","Hispanic",4326,57.4,3733,54.1,8.2,7.2,"White",1284,17,1403,20.3,2.1,2.2
7,"African-American",132,26.5,179,29.3,0.5,0.7,"2006-07","Hispanic",280,56.1,325,53.3,0.4,0.4,"White",75,15,94,15.4,0.1,0.1,8,"African-American",197,23.5,232,24.7,0.8,0.9,"2006-07","Hispanic",496,59.1,525,55.9,0.7,0.7,"White",133,15.9,169,18,0.2,0.3,9,"African-American",1100,20.6,1779,22.1,3.7,5.2,"2006-07","Hispanic",3371,63,4890,60.8,3.8,4.9,"White",822,15.4,1293,16.1,1.2,1.7,10,"African-American",986,21.6,1430,21.7,3.9,5.5,"2006-07","Hispanic",2585,56.6,3749,57,3.7,5.2,"White",941,20.6,1305,19.8,1.5,1.9,11,"African-American",947,21.6,1324,22.3,4.3,6.2,"2006-07","Hispanic",2324,52.9,3156,53.1,4,5.4,"White",1075,24.5,1359,22.9,1.7,2.1,12,"African-American",2169,22.6,1815,22.9,10,9,"2006-07","Hispanic",5657,58.9,4468,56.4,10,8.3,"White",1628,16.9,1499,18.9,2.7,2.4
7,"African-American",96,27,102,26.8,0.4,0.4,"2007-08","Hispanic",182,51.1,203,53.3,0.2,0.2,"White",67,18.8,64,16.8,0.1,0.1,8,"African-American",121,23,156,21.5,0.5,0.6,"2007-08","Hispanic",290,55.2,451,62.1,0.4,0.6,"White",102,19.4,110,15.2,0.2,0.2,9,"African-American",1083,22.8,1663,23.4,3.6,4.9,"2007-08","Hispanic",2944,62,4365,61.3,3.2,4.2,"White",674,14.2,991,13.9,1,1.3,10,"African-American",849,21.6,1333,23.6,3.4,5.1,"2007-08","Hispanic",2309,58.8,3221,57.1,3.2,4.4,"White",708,18,1013,18,1.1,1.5,11,"African-American",817,21.9,1140,23.3,3.7,5.3,"2007-08","Hispanic",2030,54.5,2533,51.9,3.3,4.1,"White",817,21.9,1144,23.4,1.4,1.8,12,"African-American",1630,22.2,1502,23.3,7.3,7.2,"2007-08","Hispanic",4320,58.9,3610,56.1,7.1,6.2,"White",1260,17.2,1224,19,2.1,2
7,"African-American",81,22.9,117,25.1,0.3,0.5,"2008-09","Hispanic",195,55.2,240,51.5,0.2,0.3,"White",64,18.1,94,20.2,0.1,0.1,8,"African-American",148,23.1,159,21.4,0.6,0.6,"2008-09","Hispanic",392,61.1,462,62.3,0.5,0.5,"White",90,14,109,14.7,0.1,0.2,9,"African-American",882,21.4,1504,23.8,3.1,4.6,"2008-09","Hispanic",2616,63.4,3829,60.7,2.9,3.8,"White",561,13.6,903,14.3,0.9,1.3,10,"African-American",780,23.5,1133,24.1,3.1,4.4,"2008-09","Hispanic",1914,57.7,2637,56,2.7,3.5,"White",581,17.5,876,18.6,0.9,1.3,11,"African-American",721,21.6,1002,23.4,3.2,4.5,"2008-09","Hispanic",1824,54.5,2296,53.7,2.8,3.5,"White",744,22.2,915,21.4,1.3,1.5,12,"African-American",1550,22.6,1304,22.6,6.8,6.1,"2008-09","Hispanic",4107,59.8,3270,56.7,6.3,5.2,"White",1111,16.2,1076,18.6,1.9,1.7
