"Grade","Students","Female","Female_Percentage","Male","Male_Percentage","State","State_Percentage","School_Year"
"Grade-9",NA,3452,2,4207,2.1,NA,NA,"1998-99"
"Grade-9",NA,3418,1.9,4212,2.1,NA,NA,"1999-00"
"Grade-9",NA,2206,1.2,2751,1.4,NA,NA,"2000-01"
"Grade-9",NA,2126,1.2,2554,1.3,NA,NA,"2001-02"
"Grade-9",NA,2166,1.2,2760,1.3,NA,NA,"2002-03"
"Grade-9",NA,2004,1.1,2520,1.2,NA,NA,"2003-04"
"Grade-9",NA,2143,1.1,2622,1.2,NA,NA,"2004-05"
"Grade-9",411860,5367,2.8,7907,3.6,13274,3.2,"2005-06"
"Grade-9",412816,5349,2.7,8048,3.7,13397,3.2,"2006-07"
"Grade-9",413394,4747,2.4,7116,3.3,11863,2.9,"2007-08"
"Grade-9",402472,4124,2.2,6309,3,10433,2.6,"2008-09"
"Grade-9",405152,3698,1.9,5548,2.6,9246,2.3,"2009-10"
"Grade-9",403682,3528,1.8,5382,2.5,8910,2.2,"2010-11"
"Grade-9",402926,3439,1.8,5436,2.6,8875,2.2,"2011-12"
"Grade-9",411572,3225,1.6,5029,2.3,8254,2,"2012-13"
"Grade-9",419282,2949,1.5,5458,2.5,8407,2,"2013-14"
"Grade-9",430349,3151,1.5,5078,2.3,8229,1.9,"2014-15"
"Grade-9",439480,3296,1.6,5252,2.3,8548,1.9,"2015-16"
"Grade-9",442498,3253,1.5,5737,2.5,8990,2,"2016-17"
"Grade-9",441847,3525,1.7,5690,2.5,9215,2.1,"2017-18"
"Grade-9",447565,3493,1.6,5788,2.5,9281,2.1,"2018-19"
